index,Topic,Count,Name,Top Words,label
1,0,5318,0_상기_결제_정보를_상품,"['이용', '인증', '결제', '상품', '구매', '카드', '거래', '정보', '서비스', '사용자']",디지털 금융 서비스 | Digital Financial Services
2,1,8169,1_상기_검색_데이터_있다,"['데이터', '정보', '검색', '서비스', '사용자']",디지털 정보혁명 | Digital Information Revolution
